Time,Entity,Errors,Data
19:31:10,khach_hang,"ho_ten: Chứa ký tự đặc biệt không cho phép (regex: [^A-Za-zÀ-Ỵà-ỹ\s]); sdt: Phải gồm 9-11 chữ số (regex: ^[0-9]{9,11}$); thanh_pho: Không thuộc danh sách (Cần Thơ, Huế, Hà Nội, Hải Phòng, Hồ Chí Minh, Đà Nẵng); email: Sai định dạng (regex: ^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$)",ho_ten=Nguyen Amh* | sdt=123 | email=test@ | thanh_pho=hanoi
19:31:10,khach_hang,ho_ten: Chứa số (regex: \d); ho_ten: Chứa ký tự đặc biệt không cho phép (regex: [^A-Za-zÀ-Ỵà-ỹ\s]); email: Không rỗng,ho_ten=Lê Hạnh2313 | sdt=961562977 | email= | thanh_pho=Đà Nẵng
19:31:10,khach_hang,"ho_ten: Chứa số (regex: \d); ho_ten: Chứa ký tự đặc biệt không cho phép (regex: [^A-Za-zÀ-Ỵà-ỹ\s]); ho_ten: Lặp ký tự ≥3 lần (ví dụ: aaa, hhh); email: Không rỗng",ho_ten=Vũ Minh8888 | sdt=921081371 | email= | thanh_pho=Hồ Chí Minh
19:31:10,khach_hang,"id: Không dùng ID test (0, 123, 999)",ho_ten=Nguyễn Nga | sdt=915569744 | email=user123@example.com | thanh_pho=Hồ Chí Minh
19:31:10,khach_hang,ho_ten: Không rỗng,ho_ten= | sdt=932063477 | email=user415@example.com | thanh_pho=Hải Phòng
19:31:10,khach_hang,ho_ten: Chứa số (regex: \d); ho_ten: Chứa ký tự đặc biệt không cho phép (regex: [^A-Za-zÀ-Ỵà-ỹ\s]),ho_ten=dyge347434 | sdt=958213980 | email=user416@example.com | thanh_pho=Cần Thơ
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Phạm Bình | sdt=0958961353 | email=user1@gmail.com | thanh_pho=Hồ Chí Minh
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Đỗ Cường | sdt=0913707630 | email=user2@gmail.com | thanh_pho=Hải Phòng
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Trần Hoa | sdt=0943884929 | email=user3@gmail.com | thanh_pho=Hải Phòng
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Nguyễn Quỳnh | sdt=0926781227 | email=user4@gmail.com | thanh_pho=Cần Thơ
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Đặng Bình | sdt=0941813014 | email=user5@gmail.com | thanh_pho=Cần Thơ
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Đặng Hoa | sdt=0938200888 | email=user6@gmail.com | thanh_pho=Đà Nẵng
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Vũ Quỳnh | sdt=0938249147 | email=user8@gmail.com | thanh_pho=Hồ Chí Minh
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Bùi Hoa | sdt=0929538075 | email=user9@gmail.com | thanh_pho=Hồ Chí Minh
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Lê Minh | sdt=0944404659 | email=user10@gmail.com | thanh_pho=Hải Phòng
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Vũ Nga | sdt=0989464947 | email=user11@gmail.com | thanh_pho=Hải Phòng
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Lê An | sdt=0924647543 | email=user12@gmail.com | thanh_pho=Cần Thơ
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Hoàng Dũng | sdt=0949990349 | email=user13@gmail.com | thanh_pho=Hà Nội
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Vũ Dũng | sdt=0983804207 | email=user14@gmail.com | thanh_pho=Cần Thơ
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Đỗ An | sdt=0966873200 | email=user15@gmail.com | thanh_pho=Hà Nội
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Phạm An | sdt=0945512318 | email=user16@gmail.com | thanh_pho=Hà Nội
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Lê Hạnh | sdt=0993408061 | email=user17@gmail.com | thanh_pho=Hà Nội
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Trần Hoa | sdt=0935151980 | email=user18@gmail.com | thanh_pho=Hồ Chí Minh
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Lê Hoa | sdt=0997151823 | email=user19@gmail.com | thanh_pho=Cần Thơ
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Vũ Hoa | sdt=0950113370 | email=user20@gmail.com | thanh_pho=Hà Nội
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Đặng Dũng | sdt=0933202580 | email=user21@gmail.com | thanh_pho=Hồ Chí Minh
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Đỗ Hạnh | sdt=0922839175 | email=user22@gmail.com | thanh_pho=Cần Thơ
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Hoàng Bình | sdt=0968612346 | email=user23@gmail.com | thanh_pho=Hồ Chí Minh
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Trần Minh | sdt=0960886787 | email=user24@gmail.com | thanh_pho=Hải Phòng
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Nguyễn Dũng | sdt=0910049518 | email=user25@gmail.com | thanh_pho=Cần Thơ
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Phạm Bình | sdt=0973152986 | email=user26@gmail.com | thanh_pho=Hà Nội
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Hoàng Hoa | sdt=0933070203 | email=user27@gmail.com | thanh_pho=Hải Phòng
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Lê Quỳnh | sdt=0995193516 | email=user28@gmail.com | thanh_pho=Hà Nội
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Nguyễn Bình | sdt=0985367625 | email=user29@gmail.com | thanh_pho=Đà Nẵng
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Bùi Nga | sdt=0928114814 | email=user30@gmail.com | thanh_pho=Đà Nẵng
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Bùi Hoa | sdt=0972099882 | email=user31@gmail.com | thanh_pho=Hồ Chí Minh
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Lê Hạnh | sdt=0920351173 | email=user32@gmail.com | thanh_pho=Hải Phòng
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Hoàng Quỳnh | sdt=0997803488 | email=user33@gmail.com | thanh_pho=Hồ Chí Minh
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Trần Hạnh | sdt=0934674193 | email=user34@gmail.com | thanh_pho=Hà Nội
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Lê Cường | sdt=0985510332 | email=user35@gmail.com | thanh_pho=Hà Nội
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Bùi Bình | sdt=0974219416 | email=user36@gmail.com | thanh_pho=Hà Nội
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Bùi Bình | sdt=0935491636 | email=user37@gmail.com | thanh_pho=Đà Nẵng
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Lê Nga | sdt=0959770542 | email=user38@gmail.com | thanh_pho=Hà Nội
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Hoàng Hạnh | sdt=0967063600 | email=user39@gmail.com | thanh_pho=Hồ Chí Minh
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Hoàng Quỳnh | sdt=0986951412 | email=user40@gmail.com | thanh_pho=Hà Nội
19:31:11,khach_hang,id: Không trùng ID đã tồn tại,ho_ten=Hoàng Hoa | sdt=0941035160 | email=user41@gmail.com | thanh_pho=Đà Nẵng
