Time,Entity,Errors,Data
12:17:49,khach_hang,"ho_ten: Chứa ký tự đặc biệt không cho phép (regex: [^A-Za-zÀ-Ỵà-ỹ\s]); sdt: Phải gồm 9-11 chữ số (regex: ^[0-9]{9,11}$); thanh_pho: Không thuộc danh sách (Cần Thơ, Huế, Hà Nội, Hải Phòng, Hồ Chí Minh, Đà Nẵng); email: Sai định dạng (regex: ^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$)",ho_ten=Nguyen Amh* | sdt=123 | email=test@ | thanh_pho=hanoi
12:17:49,khach_hang,ho_ten: Chứa số (regex: \d); ho_ten: Chứa ký tự đặc biệt không cho phép (regex: [^A-Za-zÀ-Ỵà-ỹ\s]); email: Không rỗng,ho_ten=Lê Hạnh2313 | sdt=961562977 | email= | thanh_pho=Đà Nẵng
12:17:49,khach_hang,"ho_ten: Chứa số (regex: \d); ho_ten: Chứa ký tự đặc biệt không cho phép (regex: [^A-Za-zÀ-Ỵà-ỹ\s]); ho_ten: Lặp ký tự ≥3 lần (ví dụ: aaa, hhh); email: Không rỗng",ho_ten=Vũ Minh8888 | sdt=921081371 | email= | thanh_pho=Hồ Chí Minh
12:17:49,khach_hang,"id: Không dùng ID test (0, 123, 999)",ho_ten=Nguyễn Nga | sdt=915569744 | email=user123@example.com | thanh_pho=Hồ Chí Minh
12:17:50,khach_hang,ho_ten: Không rỗng,ho_ten= | sdt=932063477 | email=user415@example.com | thanh_pho=Hải Phòng
12:17:50,khach_hang,ho_ten: Chứa số (regex: \d); ho_ten: Chứa ký tự đặc biệt không cho phép (regex: [^A-Za-zÀ-Ỵà-ỹ\s]),ho_ten=dyge347434 | sdt=958213980 | email=user416@example.com | thanh_pho=Cần Thơ
12:17:50,khach_hang,ho_ten: Không rỗng,ho_ten= | sdt=0900001002 | email=error2@gmail.com | thanh_pho=Hồ Chí Minh
12:17:50,khach_hang,ho_ten: Chứa số (regex: \d); ho_ten: Chứa ký tự đặc biệt không cho phép (regex: [^A-Za-zÀ-Ỵà-ỹ\s]),ho_ten=Lê Thị Nga123 | sdt=0900001003 | email=error3@gmail.com | thanh_pho=Đà Nẵng
12:17:50,khach_hang,ho_ten: Chứa ký tự đặc biệt không cho phép (regex: [^A-Za-zÀ-Ỵà-ỹ\s]),ho_ten=Nguyễn @An | sdt=0900001004 | email=error4@gmail.com | thanh_pho=Hải Phòng
12:17:50,khach_hang,"ho_ten: Có khoảng trắng liên tiếp (regex: \s{2,})",ho_ten=Lê  Thị Mai | sdt=0900001009 | email=error9@gmail.com | thanh_pho=Hải Phòng
